Row,Column,Value
0,0,1
0,1,3
0,2,5
0,3,3
0,4,1
0,5,5
0,6,2
0,7,5
0,8,3
0,9,5
0,10,1
0,11,2
0,12,1
0,13,4
0,14,3
0,15,4
0,16,3
0,17,5
0,18,3
0,19,4
0,20,1
0,21,5
0,22,1
0,23,4
0,24,4
0,25,2
0,26,4
0,27,1
0,28,5
0,29,1
0,30,4
0,31,2
0,32,5
0,33,2
0,34,3
0,35,3
0,36,3
0,37,2
0,38,4
0,39,2
0,40,3
0,41,2
0,42,2
0,43,4
0,44,5
0,45,3
0,46,4
0,47,2
0,48,4
0,49,1
0,50,1
0,51,4
0,52,2
0,53,5
0,54,5
0,55,2
0,56,5
0,57,3
0,58,5
0,59,2
0,60,4
0,61,2
0,62,3
0,63,4
0,64,4
0,65,5
0,66,5
0,67,1
0,68,4
0,69,2
0,70,5
0,71,5
0,72,2
0,73,3
0,74,3
0,75,4
0,76,3
0,77,4
0,78,5
0,79,5
0,80,3
0,81,3
0,82,4
0,83,2
0,84,1
0,85,4
0,86,1
0,87,3
0,88,4
0,89,5
0,90,5
0,91,3
0,92,3
0,93,4
0,94,4
0,95,3
0,96,5
0,97,1
0,98,4
0,99,4
1,0,1
1,1,5
1,2,5
1,3,4
1,4,1
1,5,5
1,6,1
1,7,5
1,8,4
1,9,5
1,10,1
1,11,4
1,12,5
1,13,4
1,14,4
1,15,5
1,16,1
1,17,5
1,18,4
1,19,5
1,20,1
1,21,5
1,22,1
1,23,4
1,24,5
1,25,3
1,26,5
1,27,1
1,28,2
1,29,1
1,30,5
1,31,1
1,32,4
1,33,1
1,34,5
1,35,1
1,36,1
1,37,1
1,38,5
1,39,3
1,40,5
1,41,1
1,42,1
1,43,1
1,44,3
1,45,1
1,46,2
1,47,1
1,48,5
1,49,1
1,50,1
1,51,4
1,52,1
1,53,4
1,54,5
1,55,3
1,56,5
1,57,2
1,58,5
1,59,2
1,60,5
1,61,4
1,62,1
1,63,4
1,64,4
1,65,5
1,66,5
1,67,1
1,68,4
1,69,1
1,70,5
1,71,5
1,72,4
1,73,3
1,74,1
1,75,3
1,76,3
1,77,4
1,78,5
1,79,4
1,80,4
1,81,3
1,82,3
1,83,4
1,84,5
1,85,4
1,86,5
1,87,5
1,88,4
1,89,4
1,90,5
1,91,4
1,92,4
1,93,4
1,94,4
1,95,4
1,96,5
1,97,5
1,98,4
1,99,5
2,0,2
2,1,4
2,2,4
2,3,3
2,4,1
2,5,4
2,6,2
2,7,4
2,8,3
2,9,5
2,10,2
2,11,3
2,12,2
2,13,4
2,14,3
2,15,5
2,16,2
2,17,4
2,18,3
2,19,4
2,20,1
2,21,4
2,22,2
2,23,4
2,24,4
2,25,1
2,26,4
2,27,1
2,28,4
2,29,4
2,30,4
2,31,1
2,32,5
2,33,1
2,34,4
2,35,1
2,36,4
2,37,1
2,38,5
2,39,2
2,40,2
2,41,1
2,42,2
2,43,4
2,44,5
2,45,2
2,46,4
2,47,1
2,48,4
2,49,1
2,50,1
2,51,4
2,52,2
2,53,4
2,54,5
2,55,3
2,56,5
2,57,3
2,58,4
2,59,2
2,60,4
2,61,4
2,62,3
2,63,4
2,64,4
2,65,4
2,66,4
2,67,1
2,68,4
2,69,1
2,70,5
2,71,4
2,72,2
2,73,4
2,74,2
2,75,4
2,76,4
2,77,5
2,78,5
2,79,5
2,80,4
2,81,4
2,82,4
2,83,3
2,84,3
2,85,4
2,86,4
2,87,3
2,88,3
2,89,4
2,90,4
2,91,4
2,92,3
2,93,3
2,94,3
2,95,3
2,96,4
2,97,3
2,98,3
2,99,4
3,0,1
3,1,4
3,2,5
3,3,3
3,4,1
3,5,5
3,6,2
3,7,5
3,8,3
3,9,5
3,10,1
3,11,4
3,12,1
3,13,5
3,14,2
3,15,5
3,16,1
3,17,5
3,18,2
3,19,5
3,20,1
3,21,5
3,22,1
3,23,4
3,24,4
3,25,1
3,26,4
3,27,2
3,28,4
3,29,2
3,30,4
3,31,2
3,32,5
3,33,1
3,34,5
3,35,2
3,36,4
3,37,1
3,38,5
3,39,1
3,40,4
3,41,1
3,42,2
3,43,4
3,44,5
3,45,2
3,46,5
3,47,1
3,48,5
3,49,1
3,50,1
3,51,5
3,52,3
3,53,4
3,54,5
3,55,3
3,56,5
3,57,4
3,58,5
3,59,3
3,60,5
3,61,5
3,62,5
3,63,5
3,64,4
3,65,5
3,66,5
3,67,1
3,68,5
3,69,4
3,70,5
3,71,5
3,72,4
3,73,5
3,74,5
3,75,3
3,76,5
3,77,4
3,78,4
3,79,5
3,80,5
3,81,4
3,82,3
3,83,2
3,84,3
3,85,4
3,86,5
3,87,5
3,88,4
3,89,3
3,90,5
3,91,4
3,92,3
3,93,4
3,94,4
3,95,3
3,96,5
3,97,4
3,98,3
3,99,4
4,0,1
4,1,4
4,2,5
4,3,3
4,4,1
4,5,5
4,6,1
4,7,5
4,8,3
4,9,5
4,10,1
4,11,3
4,12,1
4,13,5
4,14,3
4,15,5
4,16,1
4,17,5
4,18,3
4,19,5
4,20,1
4,21,5
4,22,1
4,23,4
4,24,4
4,25,1
4,26,5
4,27,1
4,28,5
4,29,1
4,30,5
4,31,2
4,32,4
4,33,1
4,34,4
4,35,2
4,36,4
4,37,1
4,38,5
4,39,2
4,40,3
4,41,1
4,42,2
4,43,2
4,44,5
4,45,4
4,46,5
4,47,1
4,48,5
4,49,1
4,50,1
4,51,3
4,52,2
4,53,4
4,54,5
4,55,3
4,56,5
4,57,2
4,58,5
4,59,3
4,60,5
4,61,5
4,62,5
4,63,5
4,64,4
4,65,5
4,66,5
4,67,1
4,68,3
4,69,3
4,70,5
4,71,5
4,72,2
4,73,4
4,74,3
4,75,5
4,76,5
4,77,5
4,78,4
4,79,5
4,80,4
4,81,3
4,82,3
4,83,2
4,84,1
4,85,4
4,86,1
4,87,4
4,88,3
4,89,3
4,90,1
4,91,4
4,92,3
4,93,4
4,94,3
4,95,3
4,96,5
4,97,1
4,98,3
4,99,4
5,0,1
5,1,4
5,2,5
5,3,3
5,4,1
5,5,5
5,6,1
5,7,5
5,8,3
5,9,5
5,10,1
5,11,4
5,12,1
5,13,4
5,14,3
5,15,5
5,16,1
5,17,5
5,18,3
5,19,5
5,20,1
5,21,5
5,22,1
5,23,4
5,24,4
5,25,2
5,26,4
5,27,1
5,28,4
5,29,2
5,30,4
5,31,2
5,32,4
5,33,2
5,34,4
5,35,2
5,36,4
5,37,2
5,38,4
5,39,2
5,40,3
5,41,1
5,42,2
5,43,4
5,44,5
5,45,2
5,46,4
5,47,1
5,48,4
5,49,3
5,50,1
5,51,2
5,52,1
5,53,4
5,54,4
5,55,2
5,56,4
5,57,2
5,58,5
5,59,2
5,60,3
5,61,4
5,62,2
5,63,4
5,64,3
5,65,4
5,66,4
5,67,1
5,68,4
5,69,1
5,70,5
5,71,5
5,72,1
5,73,4
5,74,2
5,75,3
5,76,5
5,77,4
5,78,4
5,79,5
5,80,4
5,81,4
5,82,4
5,83,3
5,84,3
5,85,5
5,86,5
5,87,5
5,88,4
5,89,4
5,90,3
5,91,4
5,92,4
5,93,5
5,94,3
5,95,3
5,96,4
5,97,3
5,98,3
5,99,4
6,0,1
6,1,3
6,2,5
6,3,3
6,4,1
6,5,4
6,6,2
6,7,4
6,8,3
6,9,5
6,10,2
6,11,3
6,12,2
6,13,5
6,14,3
6,15,5
6,16,1
6,17,5
6,18,3
6,19,5
6,20,1
6,21,5
6,22,1
6,23,3
6,24,5
6,25,1
6,26,3
6,27,3
6,28,3
6,29,5
6,30,5
6,31,3
6,32,3
6,33,1
6,34,1
6,35,1
6,36,1
6,37,5
6,38,1
6,39,5
6,40,3
6,41,5
6,42,1
6,43,3
6,44,5
6,45,1
6,46,3
6,47,3
6,48,5
6,49,5
6,50,2
6,51,5
6,52,1
6,53,4
6,54,5
6,55,3
6,56,5
6,57,4
6,58,5
6,59,2
6,60,5
6,61,5
6,62,1
6,63,5
6,64,4
6,65,1
6,66,4
6,67,1
6,68,4
6,69,1
6,70,5
6,71,5
6,72,1
6,73,5
6,74,1
6,75,4
6,76,5
6,77,2
6,78,4
6,79,5
6,80,2
6,81,2
6,82,2
6,83,3
6,84,3
6,85,4
6,86,5
6,87,5
6,88,3
6,89,5
6,90,5
6,91,5
6,92,5
6,93,5
6,94,5
6,95,5
6,96,3
6,97,3
6,98,3
6,99,5
7,0,1
7,1,4
7,2,5
7,3,3
7,4,1
7,5,5
7,6,1
7,7,5
7,8,4
7,9,5
7,10,1
7,11,4
7,12,1
7,13,5
7,14,3
7,15,5
7,16,1
7,17,5
7,18,4
7,19,5
7,20,1
7,21,5
7,22,1
7,23,4
7,24,4
7,25,1
7,26,4
7,27,2
7,28,5
7,29,2
7,30,2
7,31,2
7,32,4
7,33,2
7,34,4
7,35,2
7,36,4
7,37,2
7,38,4
7,39,2
7,40,3
7,41,2
7,42,2
7,43,4
7,44,5
7,45,2
7,46,4
7,47,2
7,48,2
7,49,2
7,50,1
7,51,4
7,52,2
7,53,4
7,54,5
7,55,2
7,56,5
7,57,2
7,58,5
7,59,3
7,60,5
7,61,4
7,62,2
7,63,4
7,64,3
7,65,5
7,66,4
7,67,1
7,68,4
7,69,2
7,70,5
7,71,5
7,72,1
7,73,4
7,74,3
